Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,50-70,1,El Viso,0,1,Chamartín,1,E,0,1,4,0,0,625,1,53,0,0,Apartamento
1,+100,2,Palacio,0,0,Centro,1,G,0,1,4,0,0,1800,3,115,0,0,Piso
1,70-100,1,Trafalgar,0,0,Chamberí,1,E,0,1,1,1,0,1300,2,75,0,0,Piso
1,20-30,1,Piovera,0,0,Hortaleza,1,G,0,1,1,0,0,596,1,38,0,0,Estudio
0,+100,1,Cortes,0,0,Centro,0,G,0,1,1,1,0,650,1,30,0,0,Piso
1,+100,1,Cortes,0,0,Centro,1,G,0,1,1,1,0,900,1,74,0,0,Apartamento
1,30-50,2,Comillas,0,0,Carabanchel,1,G,0,1,2,0,0,1300,3,145,0,1,Piso
0,30-50,1,Nueva España,0,0,Chamartín,0,G,0,1,1,1,0,900,3,90,0,0,Piso
1,+100,1,Embajadores,0,0,Centro,1,G,0,1,5,1,0,700,1,45,0,0,Ático
1,50-70,1,Almenara,0,0,Tetuán,1,G,0,1,4,0,0,635,1,50,0,0,Estudio
1,+100,1,Universidad,0,1,Centro,1,G,0,1,3,1,0,1850,1,78,0,0,Piso
0,+100,1,Sol,0,0,Carabanchel,0,G,0,1,2,1,0,650,1,45,0,0,Piso
1,70-100,3,Lista,0,1,Salamanca,1,G,0,0,3,1,0,3000,3,140,0,0,Piso
0,70-100,2,Jerónimos,0,0,Retiro,1,D,0,1,2,1,0,1250,2,97,0,0,Piso
0,20-30,1,Concepción,0,0,Ciudad Lineal,1,E,0,1,3,1,0,680,1,45,0,0,Apartamento
1,70-100,2,Jerónimos,0,0,Retiro,1,G,0,1,3,1,0,1200,2,80,0,0,Piso
1,50-70,2,Almenara,0,1,Tetuán,1,G,0,1,7,0,0,1640,3,120,0,1,Piso
0,50-70,2,Goya,0,1,Salamanca,1,G,1,1,4,0,0,950,2,90,0,0,Piso
1,30-50,1,Prosperidad,0,1,Chamartín,1,F,0,1,3,0,0,900,2,77,0,0,Piso
1,50-70,2,Campamento,1,0,Latina,1,D,0,1,1,1,0,850,2,75,0,0,Piso
0,50-70,1,Goya,0,1,Salamanca,1,G,1,1,6,0,0,900,2,85,0,0,Piso
1,10-20,2,Valdefuentes,1,0,Hortaleza,1,G,0,1,5,0,0,1500,3,135,1,0,Piso
1,20-30,1,Guindalera,0,0,Salamanca,0,G,0,1,2,1,0,1200,1,88,0,0,Loft
0,30-50,1,Niño Jesús,0,0,Retiro,0,D,0,1,1,0,0,850,2,45,0,0,Piso
1,50-70,2,Fuente del Berro,0,1,Salamanca,1,G,0,1,6,0,0,1500,3,146,0,0,Piso
1,30-50,2,Pilar,1,1,Fuencarral,1,G,0,1,Bajos,0,0,1350,3,126,0,1,Piso
0,+100,2,Embajadores,0,0,Centro,0,C,0,1,1,1,0,800,2,60,0,0,Piso
1,30-50,1,Castillejos,0,0,Tetuán,1,G,0,0,7,0,0,1190,1,55,0,1,Ático
