Antiquity,Bathrooms,Community_Expenses,Condition,Deposit,Elevator,Emissions,Energy_Consumption,Extra,Floor,Furnished,Heating,Neighborhood,Orientation,Parking,Pets,Photos,Price,Rooms,Size,Title,Type,Water_Heater,url
+ 100 años,1,Sí,Casi nuevo,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Electrodomésticos-Lavadora-Microondas-Nevera-TV-Balcón-Cocina Equipada,4ª planta,Sí,Electricidad,"Travesía del Arenal, Centro",Sur,,,13,950 €,,39,Estudio de alquiler en Travesía del Arenal Sol,Estudio,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-amueblado-television/154604457/d
+ 100 años,1,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Terraza,6ª planta,nan,nan,"De Campomanes, Centro",nan,,,39,1.550 €,2,110,Ático de alquiler en De Campomanes Palacio,Ático,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-terraza-ascensor/154945272/d
50 a 70 años,4,nan,Muy bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Terraza-Trastero-Cocina Office-Suite - con baño-Electrodomésticos-Serv. portería-Balcón-Videoportero-Puerta Blindada-Lavadero-Ascensor interior-Cuarto lavado plancha-Cuarto para el servicio-Cocina Equipada,3ª planta,No,Gas Natural,Salamanca,Sur,,,43,5.500 €,6,380,Piso de alquiler en Castellana,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-no-amueblado/154547959/d
50 a 70 años,2,Sí,Casi nuevo,Sí,nan,En trámite,G,Aire acondicionado-Armarios-Jardín Privado-Trastero-Cocina Office-Piscina-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Internet-Alarma-Puerta Blindada-Lavadero-Cuarto lavado plancha-Muebles de diseño-Cocina Equipada,nan,Sí,Gasóleo,"Calle de Lamiaco, Moncloa",Sureste,Privado,Sí,31,6.500 €,4,333,Casa o chalet de alquiler en Calle de Lamiaco La Florida -  El  Plantío,Casa o chalet,Gasóleo,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-trastero-piscina-amueblado-se-aceptan-mascotas-internet-no-amueblado/154246160/d
nan,2,nan,Casi nuevo,nan,Sí,D,D,Aire acondicionado-Armarios-Serv. portería-Ascensor interior-Cocina Equipada,5ª planta,Sí,Gas Natural,"María de Molina, Chamartín",nan,nan,nan,63,2.000 €,3,160,Piso de alquiler en María de Molina El Viso,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/155034440/d
nan,1,nan,nan,nan,Sí,D,D,Aire acondicionado-Armarios-Calefacción-Terraza-Ascensor interior-Cocina Equipada,1ª planta,Sí,nan,"Pérez Galdós, Centro",nan,nan,Sí,10,1.175 €,1,45,Dúplex de alquiler en Pérez Galdós Justicia - Chueca,Dúplex,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-se-aceptan-mascotas/154661482/d
nan,1,Sí,Bien,Sí,nan,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-TV-Internet-Puerta Blindada-Cocina Equipada,2ª planta,Sí,Electricidad,"Calle de Quesada, 8, Chamberí",nan,nan,Sí,15,850 €,1,50,"Piso de alquiler en Calle de Quesada, 8 Trafalgar",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-amueblado-television-se-aceptan-mascotas-internet/155108322/d
30 a 50 años,1,nan,nan,nan,nan,En trámite,G,,1ª planta,nan,nan,"Del Doctor Esquerdo, Salamanca",nan,nan,nan,14,1.300 €,2,80,Piso de alquiler en Del Doctor Esquerdo Goya,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/goya/154611507/d
nan,1,Sí,Bien,nan,Sí,En trámite,G,Armarios-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Cocina Equipada,5ª planta,Sí,Electricidad,"Calle de Goya, Salamanca",nan,Privado,nan,20,950 €,1,69,Apartamento de alquiler en Calle de Goya Goya,Apartamento,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-ascensor-amueblado/154422228/d
30 a 50 años,2,nan,Bien,nan,Sí,En trámite,G,Calefacción,3ª planta,nan,nan,"Calle de Diego de León, Salamanca",nan,nan,nan,40,2.400 €,3,165,Piso de alquiler en Calle de Diego de León Castellana,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor/155154362/d
5 a 10 años,2,nan,nan,nan,Sí,En trámite,D,Calefacción-Jardín Privado-Trastero-Piscina-Zona Infantil,5ª planta,nan,nan,"Silvina, Usera",nan,Privado,nan,19,860 €,2,86,Piso de alquiler en Silvina San Fermín,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-jardin-trastero-ascensor-piscina/155003645/d
70 a 100 años,1,Sí,nan,nan,Sí,En trámite,G,Armarios-Gres Cerámica-Parquet-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Cocina Equipada,2ª planta,Sí,Gas Natural,"Calle de Alcántara, Salamanca",Oeste,nan,nan,16,850 €,1,55,Apartamento de alquiler en Calle de Alcántara Lista,Apartamento,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/154892652/d
nan,3,Sí,Muy bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet-Terraza-Trastero-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-TV-Balcón-Alarma-Videoportero-Puerta Blindada-Lavadero-Ascensor interior-Cuarto para el servicio-Cocina Equipada,nan,No,Gas Natural,"Goya, 1, Salamanca",Sur,nan,Sí,10,5.500 €,5,345,"Piso de alquiler en Goya, 1 Recoletos",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-television-se-aceptan-mascotas-no-amueblado/152740467/d
nan,1,nan,Casi nuevo,nan,Sí,D,D,Aire acondicionado-Armarios-Ascensor interior-Cocina Equipada,1ª planta,Sí,nan,"Gravina, Centro",nan,nan,nan,49,1.100 €,1,50,Piso de alquiler en Gravina Justicia - Chueca,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-amueblado/155034409/d
50 a 70 años,1,Sí,Casi nuevo,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Terraza-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Cocina Equipada,8ª planta,Sí,Gas Natural,"Calle del General Pardiñas, Salamanca",Sur,nan,nan,15,2.000 €,2,70,Ático de alquiler en Calle del General Pardiñas Lista,Ático,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/154793720/d
50 a 70 años,2,nan,nan,nan,Sí,En trámite,G,Electrodomésticos-Puerta Blindada-Cocina Equipada,2ª planta,nan,nan,"Velazquez, Salamanca",nan,nan,nan,16,2.500 €,3,165,Piso de alquiler en Velazquez Recoletos,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/154769775/d
5 a 10 años,2,Sí,Casi nuevo,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Cocina Office-Suite - con baño-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-Internet-Cocina Equipada,1ª planta,No,Gas Natural,"Calle del General Díaz Porlier, Salamanca",nan,Comunitario,Sí,13,1.050 €,1,58,Dúplex de alquiler en Calle del General Díaz Porlier Goya,Dúplex,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-parking-se-aceptan-mascotas-internet-no-amueblado/156097090/d
nan,2,nan,Muy bien,nan,Sí,En trámite,G,Armarios-Serv. portería-Lavadero-Cocina Equipada,4ª planta,Sí,Gas Natural,Retiro,nan,nan,nan,9,3.800 €,3,141,Piso de alquiler en Ibiza de Madrid,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/154288054/d
70 a 100 años,1,nan,Muy bien,Sí,Sí,En trámite,G,Armarios-Parquet-Serv. portería-Puerta Blindada-Cocina Equipada,5ª planta,No,Electricidad,"Calle del General Álvarez de Castro, Chamberí",nan,nan,nan,17,995 €,2,58,Piso de alquiler en Calle del General Álvarez de Castro Trafalgar,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-no-amueblado/154802504/d
nan,4,nan,nan,nan,Sí,En trámite,G,Electrodomésticos-Videoportero-Cocina Equipada,nan,nan,nan,Salamanca,nan,nan,nan,8,8.500 €,3,340,Piso de alquiler en Castellana,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor/154246505/d
5 a 10 años,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Serv. portería-Videoportero-Puerta Blindada-Cocina Equipada,5ª planta,No,nan,"Princesa, Moncloa",nan,nan,nan,21,2.300 €,3,180,Piso de alquiler en Princesa Argüelles,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/154807774/d
nan,1,nan,nan,nan,Sí,En trámite,G,Armarios-Electrodomésticos-Microondas-Cocina Equipada,4ª planta,Sí,Gas Natural,"Calle de Vallehermoso, Chamberí",nan,nan,nan,36,1.600 €,3,70,Piso de alquiler en Calle de Vallehermoso Arapiles,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/154892548/d
30 a 50 años,2,Sí,nan,nan,Sí,En trámite,G,Armarios-Calefacción-Parquet-Terraza-Electrodomésticos-Puerta Blindada-Cocina Equipada,3ª planta,Sí,nan,"San Crispin, Latina",nan,nan,nan,29,1.150 €,3,115,Piso de alquiler en San Crispin Puerta del Ángel,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-ascensor-amueblado/155921944/d
nan,1,Sí,Casi nuevo,nan,Sí,D,E,Calefacción-Parquet-Horno-Lavadora-Microondas-Nevera-Serv. portería-Puerta Blindada-Cocina Equipada,1ª planta,No,nan,"Santa Feliciana, Chamberí",nan,Privado,Sí,22,950 €,1,62,Piso de alquiler en Santa Feliciana Trafalgar,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-ascensor-se-aceptan-mascotas-no-amueblado/154832939/d
nan,1,nan,nan,nan,Sí,D,D,Aire acondicionado-Armarios-Ascensor interior-Cocina Equipada,1ª planta,Sí,nan,"Principe, Centro",nan,nan,nan,33,990 €,1,40,Dúplex de alquiler en Principe Sol,Dúplex,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-amueblado/155034414/d
20 a 30 años,3,nan,Muy bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Terraza-Piscina comunitaria,4ª planta,nan,Gas Natural,"Calle de Arturo Soria, Ciudad Lineal",Este,Privado,nan,35,2.800 €,3,187,Ático de alquiler en Calle de Arturo Soria Costillares,Ático,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-piscina/154427407/d
nan,1,nan,nan,nan,nan,En trámite,G,,7ª planta,nan,nan,"Calle de Londres, Salamanca",nan,nan,nan,7,900 €,1,70,Piso de alquiler en Calle de Londres Guindalera,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/guindalera/155392261/d
10 a 20 años,1,nan,nan,nan,Sí,En trámite,D,Trastero-Piscina,1ª planta,nan,nan,"Andorra, Hortaleza",nan,Privado,nan,28,870 €,2,58,Piso de alquiler en Andorra Canillas,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/parking-trastero-ascensor-piscina/155321825/d
+ 100 años,2,Sí,Muy bien,nan,Sí,D,E,Aire acondicionado-Armarios-Gres Cerámica-Cocina Office-Suite - con baño-Electrodomésticos-Lavadora-Microondas-Nevera-TV-Balcón-Internet-Puerta Blindada-Cocina Equipada,4ª planta,Sí,Electricidad,"Calle de la Virgen de Los Peligros, Centro",Oeste,nan,nan,95,2.350 €,2,135,Piso de alquiler en Calle de la Virgen de Los Peligros Cortes - Huertas,Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/154663534/d
nan,1,Sí,Muy bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Puerta Blindada,7ª planta,Sí,nan,Centro,nan,nan,nan,9,1.100 €,1,40,Ático de alquiler en Palacio,Ático,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/154774535/d
,1,Sí,Casi nuevo,Sí,Sí,En trámite,G,Armarios-Gres Cerámica-Patio-Electrodomésticos-Cocina Equipada,Bajos,Sí,Electricidad,Chamberí,,,,27,950 €,2,70,Piso de alquiler en Ríos Rosas - Nuevos Ministerios,Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/ascensor-patio-amueblado/157184722/d
,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Bajos,nan,nan,"Pérez Galdós, Centro",,,,18,1.894 €,1,50,Apartamento de alquiler en Pérez Galdós Justicia - Chueca,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285591/d
+ 100 años,1,nan,Bien,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Parquet-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-TV-Internet-Cocina Equipada,5ª planta,Sí,Gas Natural,"Calle de Hortaleza, Centro",Este,,,11,850 €,1,39,Piso de alquiler en Calle de Hortaleza Justicia - Chueca,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/156474084/d
30 a 50 años,1,Sí,Bien,nan,nan,En trámite,G,Aire acondicionado-Gres Cerámica-Parquet-Electrodomésticos-Horno-Lavadora-Nevera-Cocina Equipada,2ª planta,nan,Gas Natural,"Calle del Olivo, 39, Moncloa",Sur,,,13,790 €,2,75,"Piso de alquiler en Calle del Olivo, 39 Aravaca",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion/157624106/d
nan,1,Sí,Muy bien,Sí,Sí,En trámite,G,Armarios-Gres Cerámica-Parquet-Electrodomésticos-Serv. portería-Puerta Blindada-Cocina Equipada,1ª planta,Sí,Gas Natural,"Calle de Bretón de Los Herreros, Chamberí",nan,,,7,1.000 €,2,65,Piso de alquiler en Calle de Bretón de Los Herreros Ríos Rosas - Nuevos Ministerios,Piso,Electricidad,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/157333408/d
nan,2,nan,Casi nuevo,nan,nan,En trámite,G,,Bajos,nan,Gas Natural,"Calle de Nanclares de Oca, San Blas",Este,,,13,1.175 €,2,90,Planta baja de alquiler en Calle de Nanclares de Oca Rejas,Planta baja,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/rejas/157404477/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Sótano,nan,nan,"Calle de Tribulete, Centro",nan,,,11,1.400 €,1,45,Apartamento de alquiler en Calle de Tribulete Embajadores - Lavapiés,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285495/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Horno-Lavadora-Microondas-Nevera-TV-Internet,nan,nan,nan,"Travesía Vázquez de Mella, Ciudad Lineal",nan,,,19,1.075 €,1,50,Apartamento de alquiler en Travesía Vázquez de Mella Pueblo Nuevo,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-television-internet/157285548/d
nan,2,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Entresuelo,nan,nan,"Calle Gran Vía, Centro",nan,,,17,3.193 €,2,90,Apartamento de alquiler en Calle Gran Vía Universidad - Malasaña,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285478/d
nan,2,Sí,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Cocina Equipada,5ª planta,No,nan,"Calle de Noblejas, Centro",nan,Privado,,53,2.250 €,2,118,Ático de alquiler en Calle de Noblejas Palacio,Ático,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-no-amueblado/157334194/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Nevera-TV-Internet,Bajos,nan,nan,"Calle Águila, Centro",nan,nan,,11,720 €,1,25,Apartamento de alquiler en Calle Águila Palacio,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285332/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Lavadora-Microondas-Nevera-Internet,Principal,nan,nan,"Calle del Doctor Fourquet, Centro",nan,nan,,19,1.949 €,1,25,Apartamento de alquiler en Calle del Doctor Fourquet Embajadores - Lavapiés,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-internet/157286033/d
20 a 30 años,1,Sí,Casi nuevo,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Videoportero-Cocina Equipada,7ª planta,Sí,Gas Natural,Salamanca,Este,Privado,,31,1.100 €,1,50,Piso de alquiler en Goya,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/156727944/d
nan,2,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Subsótano,nan,nan,"Paseo de la Castellana, Chamartín",nan,nan,,37,3.630 €,2,85,Apartamento de alquiler en Paseo de la Castellana El Viso,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157286029/d
nan,2,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Principal,nan,nan,"Calle de Antonio Acuña, Salamanca",nan,nan,,21,2.786 €,3,100,Apartamento de alquiler en Calle de Antonio Acuña Goya,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285458/d
10 a 20 años,1,Sí,Casi nuevo,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Jardín Privado-Piscina-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Balcón-Videoportero-Puerta Blindada-Cocina Equipada,3ª planta,No,Gas Natural,Centro,Sur,Privado,,28,1.200 €,1,51,Piso de alquiler en Justicia - Chueca,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-ascensor-piscina-no-amueblado/157156623/d
nan,1,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Cocina Office-Electrodomésticos-Lavadora-Microondas-Nevera-TV-Cocina Equipada,4ª planta,Sí,nan,"Calle del Calvario, Centro",nan,nan,,7,825 €,1,40,Ático de alquiler en Calle del Calvario Embajadores - Lavapiés,Ático,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television/157249871/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Bajos,nan,nan,"Conde de Romanones, Centro",nan,nan,,19,1.463 €,2,60,Apartamento de alquiler en Conde de Romanones Embajadores - Lavapiés,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285617/d
10 a 20 años,5,nan,Bien,nan,nan,En trámite,G,Aire acondicionado-Armarios-Calefacción-Jardín Privado-Parquet-Terraza-Trastero-Bodega-Alarma-Puerta Blindada-Cocina Equipada,nan,nan,nan,Chamartín,Sureste,Privado,,33,5.500 €,5,360,Casa o chalet de alquiler en Hispanoamérica - Bernabéu,Casa o chalet,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero/157123351/d
nan,2,Sí,Bien,nan,Sí,En trámite,G,Armarios-Calefacción-Parquet-Terraza-Z. Comunitaria-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Zona Deportiva-Zona Infantil-Puerta Blindada-Cocina Equipada,5ª planta,Sí,nan,"Valladolid, Moncloa",nan,Privado,Sí,18,1.400 €,4,135,Piso de alquiler en Valladolid Casa de Campo,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-terraza-zona-comunitaria-ascensor-amueblado-se-aceptan-mascotas/157116381/d
Menos de 1 año,2,nan,nan,nan,Sí,En trámite,B,Calefacción-Trastero-Piscina-Serv. portería,1ª planta,nan,nan,"Lucero del Alba, 13, Villaverde",nan,Privado,nan,28,805 €,2,62,"Piso de alquiler en Lucero del Alba, 13 Los Ángeles",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-parking-trastero-ascensor-piscina/157381523/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Lavadora-Microondas-Nevera-TV-Internet,nan,nan,nan,"Calle de Cervantes, Centro",nan,nan,nan,16,1.780 €,2,60,Apartamento de alquiler en Calle de Cervantes Cortes - Huertas,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285453/d
10 a 20 años,2,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Z. Comunitaria-Suite - con baño-Electrodomésticos-Lavadora-Microondas-Nevera-TV-Domótica-Puerta Blindada-Piscina comunitaria-Lavadero-Cocina Equipada,3ª planta,Sí,nan,"Calle de Albalá, 2, San Blas",nan,nan,nan,7,1.300 €,3,90,"Piso de alquiler en Calle de Albalá, 2 Simancas",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado-television-piscina/157051851/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,nan,nan,nan,"Calle Pérez Cidón, Ciudad Lineal",nan,nan,nan,19,1.980 €,1,75,Apartamento de alquiler en Calle Pérez Cidón Concepción,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285992/d
nan,1,nan,nan,nan,nan,F,En trámite,Aire acondicionado-Calefacción-Cocina Equipada,nan,nan,nan,"Extremadura, 49, Latina",nan,nan,nan,36,1.000 €,3,57,"Piso de alquiler en Extremadura, 49 Puerta del Ángel",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion/157188438/d
nan,1,Sí,nan,nan,nan,En trámite,G,Aire acondicionado-Armarios-Calefacción-Electrodomésticos-Balcón-Videoportero-Puerta Blindada-Cocina Equipada,2ª planta,nan,nan,"Desamparados, Centro",nan,nan,nan,27,1.150 €,1,83,Apartamento de alquiler en Desamparados Cortes - Huertas,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion/156240920/d
nan,2,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Bajos,nan,nan,"Calle de Fernán Gonzalez, Retiro",nan,nan,nan,17,3.630 €,3,90,Apartamento de alquiler en Calle de Fernán Gonzalez Ibiza de Madrid,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285925/d
nan,1,nan,nan,nan,nan,En trámite,G,Aire acondicionado-Calefacción-Horno-Lavadora-Microondas-Nevera-TV-Internet,Subsótano,nan,nan,"Conde de Romanones, Centro",nan,nan,nan,20,1.460 €,2,60,Apartamento de alquiler en Conde de Romanones Embajadores - Lavapiés,Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-television-internet/157285596/d
nan,1,nan,nan,nan,Sí,D,D,Armarios-Calefacción-Balcón-Cocina Equipada,3ª planta,Sí,nan,"De Torija, Centro",Suroeste,nan,nan,7,800 €,1,55,Piso de alquiler en De Torija Palacio,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-amueblado/157116746/d
5 a 10 años,1,Sí,Bien,Sí,nan,En trámite,G,Aire acondicionado-Gres Cerámica-Electrodomésticos-Lavadora-Microondas-Nevera-Cocina Equipada,Bajos,No,Gas Natural,"Glorieta de Quevedo, Chamberí",nan,nan,nan,3,800 €,1,45,Apartamento de alquiler en Glorieta de Quevedo Arapiles,Apartamento,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-no-amueblado/157052855/d
50 a 70 años,3,,,,Sí,En trámite,G,Aire acondicionado-Armarios-Calefacción-Parquet-Terraza-Trastero-Electrodomésticos-Serv. portería-Cocina Equipada,5ª planta,No,,Salamanca,,Privado,,24,3.400 €,3,220,Piso de alquiler en Recoletos,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-no-amueblado/154932692/d
70 a 100 años,1,,Casi nuevo,,Sí,En trámite,G,Aire acondicionado-Armarios-Gres Cerámica-Electrodomésticos-Lavadora-Microondas-Nevera-Serv. portería-Puerta Blindada-Cocina Equipada,5ª planta,Sí,Gas Natural,"Calle de Fernán González, Salamanca",,nan,,19,895 €,1,41,Piso de alquiler en Calle de Fernán González Goya,Piso,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/155581156/d
nan,1,,nan,,Sí,En trámite,G,Aire acondicionado-Armarios-Serv. portería,13ª planta,Sí,nan,"Calle Hilarión Eslava, Chamberí",,nan,,28,750 €,nan,40,Ático de alquiler en Calle Hilarión Eslava Gaztambide,Ático,,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor-amueblado/155759382/d
