Antiquity,Bathrooms,Community_Expenses,Condition,Deposit,Elevator,Emissions,Energy_Consumption,Extra,Floor,Furnished,Heating,Neighborhood,Orientation,Parking,Pets,Photos,Price,Rooms,Size,Title,Type,Water_Heater,url
+ 100 años,2,Sí,nan,nan,Sí,En trámite,G,Armarios-Calefacción-Parquet-Cocina Office-Suite - con baño-Electrodomésticos-Horno-Lavadora-Nevera-Balcón-Cocina Equipada,2ª planta,nan,nan,"Calle de Felipe III, Centro",nan,nan,Sí,24,1.600 €,3,110,Piso de alquiler en Calle de Felipe III Sol,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-se-aceptan-mascotas/158102301/d
nan,1,Sí,Casi nuevo,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Electrodomésticos-Cocina Equipada,2ª planta,Sí,Electricidad,"Blasco de Garay, Chamberí",nan,nan,nan,16,850 €,1,45,Piso de alquiler en Blasco de Garay Arapiles,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158852561/d
50 a 70 años,2,nan,Muy bien,Sí,Sí,E,E,Aire acondicionado-Armarios-Terraza-Trastero-Electrodomésticos-Serv. portería-Cocina Equipada,nan,Sí,Gas Natural,Chamartín,Norte,nan,nan,20,3.200 €,3,107,Ático de alquiler en El Viso,Ático,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor-amueblado/157270686/d
5 a 10 años,1,Sí,nan,nan,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet-Z. Comunitaria-Electrodomésticos-Horno-Lavadora-Nevera-Serv. portería-Balcón-Puerta Blindada-Cocina Equipada,1ª planta,nan,nan,"Calle del Rosario, 27, Centro",nan,nan,Sí,22,900 €,1,65,"Apartamento de alquiler en Calle del Rosario, 27 Palacio",Apartamento,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-zona-comunitaria-ascensor-se-aceptan-mascotas/157855834/d
30 a 50 años,1,Sí,Bien,Sí,nan,En trámite,G,Armarios-Parquet-Patio-Electrodomésticos-Horno-Lavadora-Nevera-Cocina Equipada,1ª planta,Sí,Gas Natural,"Calle del Crucero 25 de Mayo, Chamartín",nan,nan,Sí,17,900 €,3,90,Piso de alquiler en Calle del Crucero 25 de Mayo Nueva España,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-patio-amueblado-se-aceptan-mascotas/158834963/d
30 a 50 años,1,nan,nan,nan,Sí,G,G,Calefacción-Lavadora-Nevera,2ª planta,No,nan,"Cabestreros, Centro",nan,nan,nan,16,495 €,1,30,Piso de alquiler en Cabestreros Embajadores - Lavapiés,Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-no-amueblado/157853607/d
50 a 70 años,1,Sí,Casi nuevo,nan,Sí,E,E,Aire acondicionado-Armarios-Jardín Privado-Parquet-Z. Comunitaria-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-TV-Zona Infantil-Puerta Blindada-Cocina Equipada,5ª planta,Sí,Gas Natural,"Castellana, 201, Tetuán",Este,nan,nan,37,1.250 €,2,90,"Piso de alquiler en Castellana, 201 Almenara -Ventilla",Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-zona-comunitaria-ascensor-amueblado-television/158665243/d
nan,1,nan,nan,nan,Sí,En trámite,G,Aire acondicionado-Cocina Equipada,4ª planta,nan,nan,Tetuán,nan,nan,nan,20,635 €,nan,50,Estudio de alquiler en Almenara -Ventilla,Estudio,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-ascensor/157720048/d
70 a 100 años,3,Sí,Casi nuevo,Sí,Sí,En trámite,G,Aire acondicionado-Armarios-Parquet-Terraza-Trastero-Z. Comunitaria-Cocina Office-Suite - con baño-Horno-Microondas-Puerta Blindada,1ª planta,No,Gas Natural,"Calle de Francisco Suárez, Chamartín",Norte,Privado,Sí,30,2.400 €,4,150,Piso de alquiler en Calle de Francisco Suárez Nueva España,Piso,Gas Natural,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-zona-comunitaria-ascensor-se-aceptan-mascotas-no-amueblado/158681071/d
nan,1,nan,nan,nan,Sí,A,A,Aire acondicionado-Armarios-Calefacción-Trastero-Z. Comunitaria-Cocina Office-Electrodomésticos-Horno-Lavadora-Microondas-Nevera-Serv. portería-TV-Internet-Videoportero-Zona Deportiva-Puerta Blindada-Piscina comunitaria,nan,Sí,nan,"Calle de Fuencarral, 133, Chamberí",nan,Privado,nan,5,1.200 €,1,55,"Piso de alquiler en Calle de Fuencarral, 133 Trafalgar",Piso,nan,https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-zona-comunitaria-ascensor-amueblado-television-internet-piscina/158837866/d
