Air_Conditioner,Antiquity,Bathrooms,Borough,Community_Zone,Concierge,District,Elevator,Emissions,Energy_Consumption,Ensuite,Equipped_Kitchen,Floor,Furnished,Garden,Len_Extras,Photos,Price,Rooms,Size,Swimming_Pool,Terrace,Type
1,1-5,1,Numancia,0,0,Puente de Vallecas,1,C,B,0,1,1-4,0,0,5,13,685,1,44,0,1,Piso
1,30-50,2,Peñagrande,1,0,Fuencarral,1,G,G,0,1,13,0,1,11,29,1300,3,133,1,0,Ático
0,50-70,1,Nueva España,0,0,Chamartín,1,G,G,0,0,Bajos,0,0,1,23,1600,3,85,0,0,Piso
1,50-70,2,Almenara,0,0,Tetuán,0,E,E,0,1,1-4,0,0,12,20,900,3,79,0,1,Piso
1,50-70,1,Nueva España,0,1,Chamartín,1,G,G,0,1,1-4,1,0,13,33,1200,1,62,0,1,Piso
1,50-70,1,Hispanoamérica,1,1,Chamartín,1,E,E,1,1,5-8,0,0,15,34,1150,1,60,0,0,Piso
1,30-50,1,El Viso,0,1,Chamartín,1,E,E,1,1,1-4,1,0,13,28,900,1,50,0,1,Apartamento
1,+100,2,Palacio,0,0,Centro,1,G,G,0,1,1-4,0,0,5,16,1800,3,115,0,0,Piso
1,50-70,2,Guindalera,0,1,Salamanca,1,G,G,0,1,5-8,0,0,8,27,1275,3,110,0,1,Piso
1,30-50,1,Hispanoamérica,0,0,Chamartín,1,G,G,0,1,5-8,1,0,4,40,1500,1,83,0,0,Apartamento
1,+100,1,Embajadores,0,0,Centro,1,G,G,0,1,5-8,0,0,7,22,890,2,71,0,0,Piso
1,+100,2,Cortes,0,0,Centro,1,G,G,0,1,1-4,0,0,4,30,2300,2,130,0,0,Piso
1,+100,2,Goya,0,0,Salamanca,1,G,G,1,1,Principal,1,0,12,11,1550,3,126,0,0,Piso
1,10-20,2,Valdefuentes,1,1,Hortaleza,1,G,G,0,1,5-8,0,0,17,22,1250,3,105,1,0,Piso
0,5-10,2,San Fermín,0,0,Usera,0,G,G,0,0,1-4,0,0,2,37,1000,3,40,0,0,Piso
1,30-50,1,Castillejos,0,0,Tetuán,1,E,E,0,1,1-4,0,0,6,20,790,1,45,0,0,Piso
0,10-20,1,San Diego,0,0,Puente de Vallecas,0,G,G,0,1,1-4,1,0,2,28,580,2,50,0,0,Piso
1,30-50,1,Pilar,0,1,Fuencarral,1,G,G,0,1,9-12,1,0,7,14,800,2,65,0,1,Piso
0,50-70,1,Pueblo Nuevo,0,0,Ciudad Lineal,1,G,G,0,1,1-4,0,0,2,18,650,2,60,0,1,Piso
0,70-100,1,Arapiles,0,0,Chamberí,0,G,G,0,1,Sótano,0,0,1,8,395,1,20,0,0,Estudio
0,30-50,1,Casco Histórico de Vallecas,0,0,Villa de Vallecas,0,G,G,0,1,1-4,1,0,3,17,750,3,75,0,1,Piso
0,+100,1,Cortes,0,0,Centro,0,G,G,0,1,1-4,1,0,9,11,890,1,42,0,0,Piso
1,30-50,3,Colina,1,0,Ciudad Lineal,0,G,G,1,1,1-4,0,0,14,39,2600,3,180,1,1,Dúplex
1,+100,1,Justicia,0,0,Centro,0,G,G,0,1,Entresuelo,0,0,7,26,2448,2,65,0,0,Apartamento
1,+100,1,Universidad,0,0,Centro,0,G,G,0,1,Bajos,0,0,8,11,1725,1,55,0,0,Apartamento
1,50-70,1,Cuatro Caminos,0,0,Tetuán,0,G,G,0,1,Bajos,0,0,8,20,1600,1,50,0,0,Apartamento
1,70-100,2,Argüelles,0,0,Moncloa,0,G,G,0,1,Sótano,0,0,8,11,1893,2,75,0,0,Apartamento
1,10-20,1,Valderrivas,0,0,Retiro,0,G,G,0,1,Sótano,0,0,8,15,1762,1,30,0,0,Apartamento
1,30-50,1,Prosperidad,0,0,Chamartín,1,E,E,1,1,5-8,0,0,10,16,700,1,50,0,0,Piso
1,30-50,1,Cortes,0,0,Centro,1,D,D,0,1,1-4,1,0,12,50,850,1,50,0,0,Piso
1,10-20,1,Apóstol Santiago,0,0,Hortaleza,1,G,G,0,1,1-4,1,0,8,16,1150,1,65,0,0,Piso
1,30-50,2,Prosperidad,0,0,Chamartín,1,G,G,0,1,1-4,1,0,6,31,1650,3,135,0,0,Piso
1,+100,1,Sol,0,0,Centro,1,G,G,0,1,1-4,1,0,5,14,700,1,51,0,0,Apartamento
1,1-5,2,Acacias,0,0,Arganzuela,1,C,C,0,1,1-4,1,0,5,30,2800,2,164,0,0,Piso
1,70-100,4,Jerónimos,0,0,Retiro,1,E,E,1,1,1-4,0,0,11,36,3300,3,214,0,0,Piso
1,+100,3,Goya,0,0,Salamanca,0,E,E,1,1,1-4,0,0,6,29,2475,1,131,0,0,Piso
